DateTime,production_kWh,demand_kWh,spot_price_rp_per_kWh,cost_opt__grid_import_kWh,cost_opt__grid_export_kWh,cost_opt__battery_charge_kWh,cost_opt__battery_discharge_kWh,cost_opt__battery_soc_kWh,emissions_opt__grid_import_kWh,emissions_opt__grid_export_kWh,emissions_opt__battery_charge_kWh,emissions_opt__battery_discharge_kWh,emissions_opt__battery_soc_kWh,cost_opt__step_cost_rp,emissions_opt__step_cost_rp,cost_opt__step_emissions_kgco2,emissions_opt__step_emissions_kgco2
2024-01-01 00:00:00,2071.7,2295.608,2.404822,0.0,251.09199999999964,0.0,500.0,1500.0,188.31348001052552,6.246779907692797e-09,2.2848598664980662e-07,37.467916025481685,1962.53208419158,-593.831565623999,453.60975793592894,0.0,65.90971800368393
2024-01-01 00:15:00,2031.9,2419.312,2.404822,102.412000003549,0.0,0.0,299.999999996264,1200.0000000037362,342.9463127362607,5.902169346197559e-09,1.129977072648696e-07,46.80598671856733,1915.7260975803624,252.28263067245996,825.6609574094775,35.84420000124214,120.03120945769125
2024-01-01 00:30:00,2032.5,2357.828,2.404822,0.0,149.67200000000003,0.0,500.0,700.0000000037361,284.5056334841916,6.166447915305481e-09,1.5386547579741686e-07,42.97091229035821,1872.7551854361764,-349.93451838400006,685.0448247607759,0.0,99.57697171946705
2024-01-01 00:45:00,2032.5,2432.192,2.404822,0.0,75.30799992578687,7.421313622818927e-08,500.0,200.00000007423856,355.0273799083077,5.837282293814916e-09,1.0739416148302511e-07,47.01538968939343,1825.7397958488075,-171.10233499604635,854.7179615877544,0.0,124.25958296790769
2024-01-01 01:00:00,2032.4,2241.732,2.036274,209.33200020526453,0.0,2.487141218015707e-07,4.573628883598231e-08,200.00000026478068,174.19730862919172,6.265468224808408e-09,2.3961064058163365e-07,36.98388591229923,1788.7559101641377,426.2573093918639,355.4531281418788,73.26620007184258,60.9690580202171
2024-01-01 01:15:00,2112.5,2419.568,2.036274,307.06800005339306,0.0,1.1043371339313217e-07,6.004299271392463e-08,200.00000030964972,266.35690497552787,6.165381660934444e-09,1.5350037806376865e-07,42.8537844043559,1745.9021259056124,625.2745847441325,543.2327160007408,107.47380001868757,93.22491674143475
2024-01-01 01:30:00,2072.5,2420.712,2.036274,348.21200001169586,0.0,7.701696866125067e-08,6.875905863331765e-08,200.0000003140568,304.8936622469641,5.9066144687716215e-09,1.3003457805625261e-07,45.59825040944958,1700.3038756196893,709.0550421147316,621.7590021970368,121.87420000409354,106.71278178643742
2024-01-01 01:45:00,2072.5,2511.82,2.036274,439.31999971541586,0.0,5.960707437192652e-08,3.6230675688693524e-07,200.00000000837676,391.87191676713576,5.316600447800748e-09,9.123901638750248e-08,49.94535087307371,1650.3585248332943,894.5758931089471,798.9575024515428,153.76199990039555,137.1551708684975
2024-01-01 02:00:00,2072.4,2330.224,1.326032,257.82400050016173,0.0,5.967938892783783e-07,1.0171813076487385e-07,200.00000047361283,217.54355860309244,6.094884244680189e-09,1.2051922695084194e-07,42.40046476160184,1607.9580601861767,341.8828750452007,289.3177293911363,90.2384001750566,76.14024551108234
2024-01-01 02:15:00,2031.7,2385.404,1.326032,353.70400001774533,0.0,1.3712913338536996e-07,1.2566708469820666e-07,200.0000004782184,305.3024845206965,5.9124586242398835e-09,7.736759800436972e-08,50.94896375008789,1557.0090965095862,469.0228225567868,405.8598434226572,123.79640000621086,106.85586958224377
2024-01-01 02:30:00,2031.8,2738.368,1.326032,706.5679998967877,0.0,6.339904607901995e-08,1.7538040082240472e-07,200.0000003630671,676.2010510525041,5.699908318772262e-14,8.655827328206693e-08,31.96520950953074,1525.0438870822845,936.9317780439129,897.3035363211758,247.29879996387567,236.67036786837642
2024-01-01 02:45:00,2031.9,2691.148,1.326032,659.247999718982,0.0,4.9258666500110577e-08,3.476596878299043e-07,200.00000006220316,618.8292930932068,4.132608697523382e-14,8.085360423045753e-08,42.546007355417736,1482.497879803678,874.1839435712996,821.4383653276967,230.73679990164368,216.59025258262238
2024-01-01 03:00:00,2072.4,2447.424,1.052862,375.0240010941642,0.0,1.1863511893590861e-06,9.703886483235517e-08,200.00000109219792,321.41283447287645,5.83538105345321e-09,5.518191505118414e-08,56.432805882253405,1426.0650739738405,394.8485198656717,339.5320158413865,131.25840038295746,112.49449206550675
2024-01-01 03:15:00,1512.5,2287.2,1.052862,774.7000004199757,0.0,5.185983811747128e-07,1.0381320731719511e-07,200.00000148105318,725.3429661374219,-1.6686996294305867e-14,7.335709532075858e-08,51.954772564142154,1374.1103014793928,815.6521918546247,764.7251414661282,271.1450001469915,253.87003814809762
2024-01-01 03:30:00,1392.4,2202.52,1.052862,810.1200001591214,0.0,2.618847654409142e-07,1.0817181187126868e-07,200.00000162167188,756.046200696081,2.929621335020366e-14,6.82551535428254e-08,56.91978881281484,1317.1905127314192,852.944563614934,797.1507107348987,283.5420000556925,264.61617024362835
2024-01-01 03:45:00,1272.5,2015.608,1.052862,743.1080001070584,0.0,2.1417136706266562e-07,1.1275044351676455e-07,200.00000171238423,688.4843956165265,-2.832506635925408e-14,6.66349037203325e-08,57.49853100011401,1259.6919817946075,782.3901752152561,726.0290283589424,260.0878000374704,240.96953846578427
2024-01-01 04:00:00,1272.5,1933.064,1.05101,660.5640000718689,0.0,1.8089841844089443e-07,1.1476794712260636e-07,200.00000176946978,604.7012307690629,2.980325404869366e-14,6.8443702656146e-08,58.80291505197987,1200.889066807648,694.2593697214483,636.7230988530013,231.1974000251541,211.645430769172
2024-01-01 04:15:00,1272.4,1838.6,1.05101,566.2000000402916,0.0,1.536640579272142e-07,1.193392352013753e-07,200.0000017961114,505.92890640733725,-9.302522402561408e-15,7.50109969460314e-08,63.44325649228796,1137.445810386623,595.0818620478069,533.0052050545214,198.17000001410204,177.07511724256804
2024-01-01 04:30:00,1272.5,1676.92,1.05101,404.4200000185841,0.0,1.3729050204656056e-07,1.2495417985351146e-07,200.0000018015832,345.81116814004815,5.656677308590278e-09,5.4725755967072783e-08,61.69350728456248,1075.7523031540495,425.04946422477695,364.6848659677126,141.54700000650442,121.03390884901684
2024-01-01 04:45:00,1272.4,1633.892,1.05101,361.49200000033375,0.0,1.2566935391706354e-07,1.3193222063242354e-07,200.00000178903687,306.8451999881792,5.752465379811112e-09,5.8108238012226864e-08,57.52294744808574,1018.2293557611644,379.9317069255028,323.64783258365424,126.5222000001168,107.39581999586272
2024-01-01 05:00:00,1271.8,1588.356,1.054714,316.5559999722855,0.0,1.1254579037861913e-07,1.4764241012272107e-07,200.00000174831297,262.71873857531523,6.0689391675387925e-09,6.059182840501844e-08,56.67080156983745,961.5585542488897,333.8760449599729,278.2265476639326,110.79459999029993,91.95155850136032
2024-01-01 05:15:00,1391.8,1761.156,1.054714,369.3559999545224,0.0,1.0679932078137312e-07,1.602915085605343e-07,200.0000016894808,304.15541265759913,5.8950621610161995e-09,5.8219951581577674e-08,68.63219727001672,892.9263570341836,389.5649441413759,322.16961584609413,129.27459998408284,106.4543944301597
2024-01-01 05:30:00,1311.9,1691.764,1.054714,379.8639999331273,0.0,1.0141215840844082e-07,1.7714183156189813e-07,200.00000160868052,300.4257473000608,5.901175434715037e-09,6.672707819869604e-08,83.61921344480767,809.3071436527657,400.6478788310394,318.5356259018429,132.95239997659453,105.14901155502126
