DateTime,cost_opt__grid_import_kWh,cost_opt__grid_export_kWh,cost_opt__battery_charge_kWh,cost_opt__battery_discharge_kWh,cost_opt__battery_soc_kWh,emissions_opt__grid_import_kWh,emissions_opt__grid_export_kWh,emissions_opt__battery_charge_kWh,emissions_opt__battery_discharge_kWh,emissions_opt__battery_soc_kWh,cost_opt__monthly_power_tariff_rp,emissions_opt__monthly_power_tariff_rp,cost_opt__battery_fixed_cost_rp,emissions_opt__battery_fixed_cost_rp,cost_opt__runofriver_profit_rp,emissions_opt__runofriver_profit_rp,cost_opt__step_cost_rp,emissions_opt__step_cost_rp,cost_opt__step_emissions_kgco2,emissions_opt__step_emissions_kgco2
2024-01-01 00:00:00,0.0,0.0,0.0,235.69263157894775,4764.307368421052,223.90800000000036,0.0,0.0,0.0,5000.0,6123041.855913341,11552291.855999999,606000000.0,606000000.0,13466.05,13466.05,612109575.8059133,617539606.0855243,7.4933388999999995,36.15356290000005
2024-01-01 00:15:00,0.0,0.0,0.0,407.8021052631577,4356.505263157895,387.4119999999998,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,13207.35,13207.35,-13207.35,-11857.288139336,7.3493823,56.93811829999998
2024-01-01 00:30:00,0.0,0.0,0.0,342.4505263157895,4014.0547368421053,325.328,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,13211.25,13211.25,-13211.25,-12077.539828384,7.3515525,48.993536500000005
2024-01-01 00:45:00,0.0,0.0,0.0,420.72842105263163,3593.3263157894735,399.692,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,13211.25,13211.25,-13211.25,-11818.394525176,7.3515525,58.5121285
2024-01-01 01:00:00,0.0,0.0,0.0,220.3494736842104,3372.976842105263,209.33199999999988,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,13210.6,13210.6,-13210.6,-12558.264131032001,7.3511908,34.145686799999986
2024-01-01 01:15:00,0.0,0.0,0.0,323.22947368421075,3049.747368421052,307.0680000000002,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,13731.25,13731.25,-13731.25,-12774.341975368,7.6409125,46.94561650000003
2024-01-01 01:30:00,0.0,0.0,0.0,366.5389473684211,2683.2084210526314,348.212,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,13471.25,13471.25,-13471.25,-12386.125997912,7.4962325,52.0673685
2024-01-01 01:45:00,0.0,0.0,0.0,462.4421052631581,2220.766315789473,0.0,0.0,0.0,462.4421052631581,4537.557894736842,0.0,0.0,0.0,0.0,13471.25,13471.25,-13471.25,-13471.25,7.4962325,7.4962325
2024-01-01 02:00:00,0.0,0.0,0.0,271.3936842105264,1949.3726315789468,257.82400000000007,0.0,0.0,0.0,4537.557894736842,0.0,0.0,0.0,0.0,13470.6,13470.6,-13470.6,-12850.267205632,7.4958708000000005,40.497342800000006
2024-01-01 02:15:00,0.0,0.0,0.0,372.32,1577.0526315789468,353.70399999999995,0.0,0.0,0.0,4537.557894736842,0.0,0.0,0.0,0.0,13206.050000000001,13206.050000000001,-13206.050000000001,-12355.026857472001,7.3486589,52.62277089999999
2024-01-01 02:30:00,0.0,0.0,0.0,743.7557894736842,833.2968421052627,0.0,0.0,0.0,743.7557894736842,3793.802105263158,0.0,0.0,0.0,0.0,13206.699999999999,13206.699999999999,-13206.699999999999,-13206.699999999999,7.3490206,7.3490206
