pareto_point,scenario,emissions_cap_kgco2,annual_cost_burden_rp,net_annual_profit_chf,annual_emissions_burden_kgco2,annual_grid_import_kwh,annual_grid_export_kwh,annual_grid_use_h,annual_battery_charge_kwh,annual_battery_discharge_kwh
28,epsilon_constrained_cost,6119948.926219523,102568906.63593721,-1025689.0663593721,6119948.926219532,10558785.14062731,34814513.701083094,11343.324710427602,11053305.882504744,10500640.588379508
29,epsilon_constrained_cost,6127351.459416576,102417177.89025176,-1024171.7789025175,6127351.459416504,10571850.958642071,34859280.17366968,11357.782783077939,10728170.963826276,10191762.415626038
30,epsilon_constrained_cost,6134753.9926136285,102275304.68262172,-1022753.0468262172,6134753.992613651,10583289.636853263,34905673.7860612,11372.240855728614,10369658.81838014,9851175.87746113
31,epsilon_constrained_cost,6142156.525810681,102146161.75246513,-1021461.6175246513,6142156.5258107,10596787.522684626,34950008.19083178,11386.6989283791,10053386.829259992,9550717.487796992
32,epsilon_constrained_cost,6149559.059007734,102035863.40217483,-1020358.6340217483,6149559.059007725,10607524.734986259,34997103.2691319,11401.15700102954,9680485.639531903,9196461.357555307
33,epsilon_constrained_cost,6156961.592204787,101939266.98699188,-1019392.6698699188,6156961.592204759,10627953.559229288,35034506.7354907,11415.61507368,9506386.746036764,9031067.408734925
34,epsilon_constrained_cost,6164364.125401841,101851527.70912755,-1018515.2770912754,6164364.125401802,10651285.175540823,35069007.40978107,11430.073146330473,9391832.305228237,8922240.689966824
35,epsilon_constrained_cost,6171766.658598893,101774407.2189877,-1017744.072189877,6171766.658598769,10670682.786852743,35107442.089070454,11444.531218980801,9196580.325978871,8736751.309680618
36,epsilon_constrained_cost,6179169.191795946,101705424.249717,-1017054.24249717,6179169.191795921,10692312.86654694,35143644.299979,11458.989291631486,9047122.56992757,8594766.441431193
37,epsilon_constrained_cost,6186571.724992999,101644417.80453682,-1016444.1780453682,6186571.724993081,10712431.825500628,35181357.631628126,11473.447364282189,8866667.465359028,8423334.092091078
38,epsilon_constrained_cost,6193974.258190052,101590056.24980366,-1015900.5624980367,6193974.258190061,10733785.4306848,35217836.31704536,11487.90543693254,8711538.437327556,8275961.515461175
