pareto_point,scenario,emissions_cap_kgco2,annual_cost_burden_rp,net_annual_profit_chf,annual_emissions_burden_kgco2,annual_grid_import_kwh,annual_grid_export_kwh,annual_grid_use_h,annual_battery_charge_kwh,annual_battery_discharge_kwh
34,epsilon_constrained_cost,4287838.4502386125,-227937179.4593407,2279371.794593407,4287838.450238659,10698953.564025491,20782490.502647623,7870.361016668278,3419134.824388415,3248178.0831689946
35,epsilon_constrained_cost,4290600.31263051,-227999841.0018388,2279998.410018388,4290600.312630554,10701215.494653365,20801805.62195643,7875.7552791524495,3244230.3250967516,3082018.808841914
36,epsilon_constrained_cost,4293362.175022407,-228058275.4696082,2280582.754696082,4293362.175022449,10703899.499483287,20820698.66706319,7881.14954163662,3077983.7581548244,2924084.570247083
37,epsilon_constrained_cost,4296124.037414305,-228112243.66448355,2281122.4366448354,4296124.037414346,10708094.710787332,20838080.50569584,7886.543804120792,2942736.298374258,2795599.4834555453
38,epsilon_constrained_cost,4298885.899806202,-228158745.8502251,2281587.4585022507,4298885.899806241,10712822.211760314,20854930.054659538,7891.938066604963,2818407.601033603,2677487.220981923
39,epsilon_constrained_cost,4301647.7621981,-228198727.4966694,2281987.274966694,4301647.762198137,10719367.21705597,20869962.09930057,7897.332329089135,2731361.043645148,2594792.991462891
40,epsilon_constrained_cost,4304409.624589997,-228232666.8606696,2282326.668606696,4304409.624590034,10724890.647994377,20886015.71829886,7902.726591573309,2623359.114825753,2492191.1590844654
41,epsilon_constrained_cost,4307171.486981895,-228259574.02584743,2282595.7402584744,4307171.48698193,10731544.322231792,20900939.093998134,7908.120854057482,2538541.6639349842,2411614.5807382353
42,epsilon_constrained_cost,4309933.349373792,-228281348.08621526,2282813.4808621528,4309933.349373827,10739203.21977695,20914857.246389665,7913.515116541654,2474344.178331131,2350626.969414575
43,epsilon_constrained_cost,4312695.21176569,-228297806.8990587,2282978.068990587,4312695.211765723,10748256.937375173,20927380.578728132,7918.909379025827,2438758.386123516,2316820.46681734
44,epsilon_constrained_cost,4315457.074157587,-228310962.7463131,2283109.6274631307,4315457.07415762,10757390.517887024,20939824.048152976,7924.3036415100005,2404810.8075287333,2284570.2671522964
45,epsilon_constrained_cost,4318218.936549485,-228321198.32114458,2283211.9832114456,4318218.936549518,10766562.301239543,20952229.314737163,7929.697903994176,2371646.8769475026,2253064.533100128
46,epsilon_constrained_cost,4320980.798941382,-228328315.73148084,2283283.1573148086,4320980.798941416,10775126.153973658,20965242.51193975,7935.092166478352,2326012.5747067616,2209711.9459714233
47,epsilon_constrained_cost,4323742.66133328,-228333174.6906271,2283331.746906271,4323742.661333311,10784644.828348584,20977300.887501508,7940.486428962523,2299964.3574058944,2184966.1395356
48,epsilon_constrained_cost,4326504.523725177,-228336284.1558919,2283362.841558919,4326504.523725211,10794920.069355864,20988602.696430936,7945.8806914467,2289435.4556402853,2174963.6828582715
49,cost_anchor,4329266.386117075,-228337378.96538985,2283373.7896538987,4329266.386117075,10803538.020341896,21001561.79538134,7951.274953930809,2244910.8611338953,2132665.318077201
