DateTime,load_kWh,heatdemand_kWhth,production_kWh,spot price [Rp/kWh],cop_monthly,battery_installed,ptes_installed,battery_capacity_kwh,grid_import_kWh,grid_export_kWh,battery_charge_kWh,battery_discharge_kWh,battery_soc_kWh,prod_for_local_demand_kWh,woodchip_boiler_heat_kWhth,heatpump_heat_kWhth,heatpump_elec_kWh,heatpump_on,heatpump_nominal_kwth,heatpump_nominal_kWhth,Q_HP_kWhth,E_elec_HP_kWh,ptes_charge_kWhth,ptes_discharge_kWhth,ptes_soc_kWhth,ptes_volume_m3,woodchip_heat_supply_share,heatpump_heat_supply_share,ptes_discharge_supply_share
2024-01-01 00:00:00,573.902,876.5,517.925,2.404822,2.95,1.0,1.0,2000.0,176.00234171678522,0.0,0.0,150.0,850.0,517.925,0.0,774.4497580645162,262.52534171678514,1.0,3097.799032258065,774.4497580645162,774.4497580645162,262.52534171678514,0.0,102.05024193548381,482337.9497580645,5000.0,0.0,0.8835707450821634,0.11642925491783664
2024-01-01 00:15:00,604.828,935.75,507.975,2.404822,2.95,1.0,1.0,2000.0,121.8783417167851,0.0,0.0,250.0,600.0,507.975,0.0,774.4497580645162,262.52534171678514,1.0,3097.799032258065,774.4497580645162,774.4497580645162,262.52534171678514,0.0,161.30024193548383,482176.649516129,5000.0,0.0,0.8276246412658469,0.17237535873415316
2024-01-01 00:30:00,589.457,919.5,508.125,2.404822,2.95,1.0,1.0,2000.0,106.35734171678514,0.0,0.0,250.0,350.0,508.125,0.0,774.4497580645162,262.52534171678514,1.0,3097.799032258065,774.4497580645162,774.4497580645162,262.52534171678514,0.0,145.05024193548383,482031.5992741935,5000.0,0.0,0.8422509603746778,0.15774903962532227
2024-01-01 00:45:00,608.048,974.5,508.125,2.404822,2.95,1.0,1.0,2000.0,124.94834171678515,0.0,0.0,250.0,100.0,508.125,0.0,774.4497580645162,262.52534171678514,1.0,3097.799032258065,774.4497580645162,774.4497580645162,262.52534171678514,0.0,200.05024193548383,481831.54903225804,5000.0,0.0,0.7947149903176154,0.20528500968238464
2024-01-01 01:00:00,560.433,914.0,508.1,2.036274,2.95,1.0,1.0,2000.0,314.8583417167851,0.0,0.0,0.0,100.0,508.1,0.0,774.4497580645162,262.52534171678514,1.0,3097.799032258065,774.4497580645162,774.4497580645162,262.52534171678514,0.0,139.55024193548383,481691.99879032257,5000.0,0.0,0.8473192101362322,0.15268078986376787
2024-01-01 01:15:00,604.892,938.25,528.125,2.036274,2.95,1.0,1.0,2000.0,339.2923417167852,0.0,0.0,0.0,100.0,528.125,0.0,774.4497580645162,262.52534171678514,1.0,3097.799032258065,774.4497580645162,774.4497580645162,262.52534171678514,0.0,163.80024193548383,481528.1985483871,5000.0,0.0,0.8254194064103557,0.17458059358964437
2024-01-01 01:30:00,605.178,969.25,518.125,2.036274,2.95,1.0,1.0,2000.0,349.57834171678513,0.0,0.0,0.0,100.0,518.125,0.0,774.4497580645162,262.52534171678514,1.0,3097.799032258065,774.4497580645162,774.4497580645162,262.52534171678514,0.0,194.80024193548383,481333.3983064516,5000.0,0.0,0.7990196111060266,0.20098038889397352
2024-01-01 01:45:00,627.955,948.25,518.125,2.036274,2.95,1.0,1.0,2000.0,372.3553417167852,0.0,0.0,0.0,100.0,518.125,0.0,774.4497580645162,262.52534171678514,1.0,3097.799032258065,774.4497580645162,774.4497580645162,262.52534171678514,0.0,173.80024193548383,481159.5980645161,5000.0,0.0,0.8167147461792947,0.18328525382070532
2024-01-01 02:00:00,582.556,1047.0,518.1,1.326032,2.95,1.0,1.0,2000.0,326.98134171678515,0.0,0.0,0.0,100.0,518.1,0.0,774.4497580645162,262.52534171678514,1.0,3097.799032258065,774.4497580645162,774.4497580645162,262.52534171678514,0.0,272.5502419354838,480887.0478225806,5000.0,0.0,0.739684582678621,0.26031541732137903
2024-01-01 02:15:00,596.351,954.5,507.925,1.326032,2.95,1.0,1.0,2000.0,350.9513417167851,0.0,0.0,0.0,100.0,507.925,0.0,774.4497580645162,262.52534171678514,1.0,3097.799032258065,774.4497580645162,774.4497580645162,262.52534171678514,0.0,180.05024193548383,480706.99758064514,5000.0,0.0,0.8113669544939929,0.18863304550600715
2024-01-01 02:30:00,684.592,994.5,507.95,1.326032,2.95,1.0,1.0,2000.0,439.16734171678513,0.0,0.0,0.0,100.0,507.95,0.0,774.4497580645162,262.52534171678514,1.0,3097.799032258065,774.4497580645162,774.4497580645162,262.52534171678514,0.0,220.05024193548383,480486.94733870967,5000.0,0.0,0.7787327884007202,0.22126721159927987
2024-01-01 02:45:00,672.787,1019.0,507.975,1.326032,2.95,1.0,1.0,2000.0,427.33734171678515,0.0,0.0,0.0,100.0,507.975,0.0,774.4497580645162,262.52534171678514,1.0,3097.799032258065,774.4497580645162,774.4497580645162,262.52534171678514,0.0,244.55024193548383,480242.3970967742,5000.0,0.0,0.7600095761182691,0.23999042388173095
2024-01-01 03:00:00,611.856,985.5,518.1,1.052862,2.95,1.0,1.0,2000.0,356.2813417167851,0.0,0.0,0.0,100.0,518.1,0.0,774.4497580645162,262.52534171678514,1.0,3097.799032258065,774.4497580645162,774.4497580645162,262.52534171678514,0.0,211.05024193548383,480031.3468548387,5000.0,0.0,0.7858445033632838,0.2141554966367162
2024-01-01 03:15:00,571.8,884.0,378.125,1.052862,2.95,1.0,1.0,2000.0,456.2003417167851,0.0,0.0,0.0,100.0,378.125,0.0,774.4497580645162,262.52534171678514,1.0,3097.799032258065,774.4497580645162,774.4497580645162,262.52534171678514,0.0,109.55024193548381,479921.7966129032,5000.0,0.0,0.8760743869508102,0.12392561304918984
2024-01-01 03:30:00,550.63,1039.25,348.1,1.052862,2.95,1.0,1.0,2000.0,465.0553417167851,0.0,0.0,0.0,100.0,348.1,0.0,774.4497580645162,262.52534171678514,1.0,3097.799032258065,774.4497580645162,774.4497580645162,262.52534171678514,0.0,264.8002419354838,479656.9963709677,5000.0,0.0,0.7452006332109851,0.254799366789015
2024-01-01 03:45:00,503.902,1067.75,318.125,1.052862,2.95,1.0,1.0,2000.0,448.3023417167851,0.0,0.0,0.0,100.0,318.125,0.0,774.4497580645162,262.52534171678514,1.0,3097.799032258065,774.4497580645162,774.4497580645162,262.52534171678514,0.0,293.3002419354838,479363.69612903224,5000.0,0.0,0.7253100052114411,0.27468999478855893
2024-01-01 04:00:00,483.266,1017.75,318.125,1.05101,2.95,1.0,1.0,2000.0,427.66634171678515,0.0,0.0,0.0,100.0,318.125,0.0,774.4497580645162,262.52534171678514,1.0,3097.799032258065,774.4497580645162,774.4497580645162,262.52534171678514,0.0,243.30024193548383,479120.39588709676,5000.0,0.0,0.7609430194689425,0.23905698053105756
2024-01-01 04:15:00,459.65,976.5,318.1,1.05101,2.95,1.0,1.0,2000.0,404.0753417167851,0.0,0.0,0.0,100.0,318.1,0.0,774.4497580645162,262.52534171678514,1.0,3097.799032258065,774.4497580645162,774.4497580645162,262.52534171678514,0.0,202.05024193548383,478918.3456451613,5000.0,0.0,0.7930873098458947,0.2069126901541053
2024-01-01 04:30:00,419.23,1020.0,318.125,1.05101,2.95,1.0,1.0,2000.0,363.63034171678515,0.0,0.0,0.0,100.0,318.125,0.0,774.4497580645162,262.52534171678514,1.0,3097.799032258065,774.4497580645162,774.4497580645162,262.52534171678514,0.0,245.55024193548383,478672.7954032258,5000.0,0.0,0.7592644686907022,0.24073553130929787
2024-01-01 04:45:00,408.473,982.75,318.1,1.05101,2.95,1.0,1.0,2000.0,352.8983417167851,0.0,0.0,0.0,100.0,318.1,0.0,774.4497580645162,262.52534171678514,1.0,3097.799032258065,774.4497580645162,774.4497580645162,262.52534171678514,0.0,208.30024193548383,478464.4951612903,5000.0,0.0,0.7880435085876533,0.21195649141234682
2024-01-01 05:00:00,397.089,1075.5,317.95,1.054714,2.95,1.0,1.0,2000.0,341.66434171678515,0.0,0.0,0.0,100.0,317.95,0.0,774.4497580645162,262.52534171678514,1.0,3097.799032258065,774.4497580645162,774.4497580645162,262.52534171678514,0.0,301.0502419354838,478163.4449193548,5000.0,0.0,0.7200834570567329,0.2799165429432672
2024-01-01 05:15:00,440.289,1063.25,347.95,1.054714,2.95,1.0,1.0,2000.0,354.86434171678513,0.0,0.0,0.0,100.0,347.95,0.0,774.4497580645162,262.52534171678514,1.0,3097.799032258065,774.4497580645162,774.4497580645162,262.52534171678514,0.0,288.8002419354838,477874.64467741933,5000.0,0.0,0.7283797395386938,0.2716202604613062
2024-01-01 05:30:00,422.941,1110.25,327.975,1.054714,2.95,1.0,1.0,2000.0,357.4913417167851,0.0,0.0,0.0,100.0,327.975,0.0,774.4497580645162,262.52534171678514,1.0,3097.799032258065,774.4497580645162,774.4497580645162,262.52534171678514,0.0,335.8002419354838,477538.84443548386,5000.0,0.0,0.6975453799275084,0.30245462007249163
2024-01-01 05:45:00,402.18,1039.25,318.125,1.054714,2.95,1.0,1.0,2000.0,346.58034171678514,0.0,0.0,0.0,100.0,318.125,0.0,774.4497580645162,262.52534171678514,1.0,3097.799032258065,774.4497580645162,774.4497580645162,262.52534171678514,0.0,264.8002419354838,477274.0441935484,5000.0,0.0,0.7452006332109851,0.254799366789015
