pareto_point,scenario,emissions_cap_kgco2,annual_cost_burden_rp,net_annual_profit_chf,annual_emissions_burden_kgco2,annual_grid_import_kwh,annual_grid_export_kwh,annual_grid_use_h,annual_battery_charge_kwh,annual_battery_discharge_kwh
14,epsilon_constrained_cost,4277489.106409183,-317327632.8063371,3173276.328063371,4277489.106408951,10857424.894959189,20543164.923044335,7850.147454500881,7499103.137588253,7124147.980708841
15,epsilon_constrained_cost,4279888.405823266,-317454912.603999,3174549.12603999,4279888.405823042,10857443.3686434,20561890.976032708,7854.833586169027,7307230.529340431,6941869.00287341
16,epsilon_constrained_cost,4282287.7052373495,-317580085.91481584,3175800.859148158,4282287.705237134,10857461.84232761,20580617.02902109,7859.519717837175,7115357.921092469,6759590.025037846
17,epsilon_constrained_cost,4284687.004651432,-317702742.78590715,3177027.4278590716,4284687.004651222,10857480.31601182,20599343.08200945,7864.205849505317,6923485.312844848,6577311.047202606
18,epsilon_constrained_cost,4287086.304065515,-317823041.4814376,3178230.4148143763,4287086.304065312,10857480.31601182,20618087.60868203,7868.891981173462,6731233.757228632,6394672.0693672
19,epsilon_constrained_cost,4289485.603479599,-317941256.79991746,3179412.567999175,4289485.603479405,10857480.31601182,20636832.135354623,7873.578112841611,6538982.201612281,6212033.091531666
20,epsilon_constrained_cost,4291884.902893681,-318057436.13164914,3180574.3613164914,4291884.902893491,10857480.31601182,20655576.662027173,7878.264244509748,6346730.645996394,6029394.113696573
21,epsilon_constrained_cost,4294284.202307764,-318171251.49736404,3181712.5149736404,4294284.202307581,10857517.26338024,20674284.24133133,7882.950376177893,6155236.985117022,5847475.13586117
22,epsilon_constrained_cost,4296683.501721848,-318282637.64819545,3182826.3764819545,4296683.501721671,10857517.26338024,20693028.768003907,7887.636507846037,5962985.4295008695,5664836.158025825
23,epsilon_constrained_cost,4299082.80113593,-318391006.2778221,3183910.062778221,4299082.801135762,10857542.679712651,20711747.87834408,7892.322639514184,5771255.2345494665,5482692.472821994
24,epsilon_constrained_cost,4301482.100550014,-318496311.6430449,3184963.116430449,4301482.100549851,10857774.627081074,20730260.45764823,7897.008771182325,5583761.573670174,5304573.4949866645
25,epsilon_constrained_cost,4303881.399964097,-318598974.7201464,3185989.747201464,4303881.399963944,10857802.185979493,20748977.425422415,7901.694902850477,5392075.328790557,5122471.5623510275
