DateTime,load_kWh,heatdemand_kWhth,production_kWh,spot price [Rp/kWh],cop_monthly,battery_installed,ptes_installed,battery_capacity_kwh,grid_import_kWh,grid_export_kWh,battery_charge_kWh,battery_discharge_kWh,battery_soc_kWh,prod_for_local_demand_kWh,woodchip_boiler_heat_kWhth,heatpump_heat_kWhth,heatpump_elec_kWh,heatpump_on,heatpump_nominal_kwth,heatpump_nominal_kWhth,Q_HP_kWhth,E_elec_HP_kWh,ptes_charge_kWhth,ptes_discharge_kWhth,ptes_soc_kWhth,ptes_volume_m3,woodchip_heat_supply_share,heatpump_heat_supply_share,ptes_discharge_supply_share
2024-01-01 00:00:00,573.902,876.5,517.925,2.404822,2.95,1.0,0.0,2000.0,0.0,0.0,0.0,243.957056199841,756.042943800159,517.925,357.94249999994565,518.5575000000543,175.78220338984892,1.0,2074.2300000002174,518.5575000000543,518.5575000000543,175.78220338984892,0.0,0.0,0.0,0.0,0.40837706788356604,0.5916229321164339,0.0
2024-01-01 00:15:00,604.828,935.75,507.975,2.404822,2.95,1.0,0.0,2000.0,35.13520338984883,0.0,0.0,250.0,506.042943800159,507.975,417.19249999994565,518.5575000000543,175.78220338984892,1.0,2074.2300000002174,518.5575000000543,518.5575000000543,175.78220338984892,0.0,0.0,0.0,0.0,0.44583756345171854,0.5541624365482815,0.0
2024-01-01 00:30:00,589.457,919.5,508.125,2.404822,2.95,1.0,0.0,2000.0,19.614203389848885,0.0,0.0,250.0,256.042943800159,508.125,400.94249999994565,518.5575000000543,175.78220338984892,1.0,2074.2300000002174,518.5575000000543,518.5575000000543,175.78220338984892,0.0,0.0,0.0,0.0,0.4360440456769393,0.5639559543230608,0.0
2024-01-01 00:45:00,608.048,974.5,508.125,2.404822,2.95,1.0,0.0,2000.0,127.46440677969778,0.0,0.0,156.0429438001591,100.0,508.125,455.94249999994565,518.5575000000543,175.78220338984892,1.0,2074.2300000002174,518.5575000000543,518.5575000000543,175.78220338984892,0.0,0.0,0.0,0.0,0.4678732683426841,0.5321267316573159,0.0
2024-01-01 01:00:00,560.433,914.0,508.1,2.036274,2.95,1.0,0.0,2000.0,228.1152033898489,0.0,0.0,0.0,100.0,508.1,395.44249999994565,518.5575000000543,175.78220338984892,1.0,2074.2300000002174,518.5575000000543,518.5575000000543,175.78220338984892,0.0,0.0,0.0,0.0,0.432650437636702,0.5673495623632979,0.0
2024-01-01 01:15:00,604.892,938.25,528.125,2.036274,2.95,1.0,0.0,2000.0,252.54920338984897,0.0,0.0,0.0,100.0,528.125,419.69249999994565,518.5575000000543,175.78220338984892,1.0,2074.2300000002174,518.5575000000543,518.5575000000543,175.78220338984892,0.0,0.0,0.0,0.0,0.4473141486809972,0.5526858513190027,0.0
2024-01-01 01:30:00,605.178,969.25,518.125,2.036274,2.95,1.0,0.0,2000.0,262.8352033898489,0.0,0.0,0.0,100.0,518.125,450.69249999994565,518.5575000000543,175.78220338984892,1.0,2074.2300000002174,518.5575000000543,518.5575000000543,175.78220338984892,0.0,0.0,0.0,0.0,0.4649909724012852,0.5350090275987148,0.0
2024-01-01 01:45:00,627.955,948.25,518.125,2.036274,2.95,1.0,0.0,2000.0,285.61220338984896,0.0,0.0,0.0,100.0,518.125,429.69249999994565,518.5575000000543,175.78220338984892,1.0,2074.2300000002174,518.5575000000543,518.5575000000543,175.78220338984892,0.0,0.0,0.0,0.0,0.4531426311626108,0.5468573688373892,0.0
2024-01-01 02:00:00,582.556,1047.0,518.1,1.326032,2.95,1.0,0.0,2000.0,240.23820338984893,0.0,0.0,0.0,100.0,518.1,528.4424999999457,518.5575000000543,175.78220338984892,1.0,2074.2300000002174,518.5575000000543,518.5575000000543,175.78220338984892,0.0,0.0,0.0,0.0,0.504720630372441,0.4952793696275591,0.0
2024-01-01 02:15:00,596.351,954.5,507.925,1.326032,2.95,1.0,0.0,2000.0,264.20820338984896,0.0,0.0,0.0,100.0,507.925,435.94249999994565,518.5575000000543,175.78220338984892,1.0,2074.2300000002174,518.5575000000543,518.5575000000543,175.78220338984892,0.0,0.0,0.0,0.0,0.45672341540067646,0.5432765845993236,0.0
