pareto_point,scenario,emissions_cap_kgco2,battery_installed,ptes_installed,net_annual_profit_chf,annual_emissions_burden_kgco2,annual_grid_import_kwh,annual_grid_export_kwh,annual_grid_use_h,annual_battery_charge_kwh,annual_battery_discharge_kwh,annual_battery_throughput_emissions_kgco2,annual_woodchip_heat_kwhth,annual_heatpump_heat_kwhth,annual_heatpump_nominal_kwhth,annual_heatpump_fixed_cost_rp,annual_ptes_volume_m3,annual_ptes_fixed_cost_rp,annual_thermal_revenue_chf
2,epsilon_constrained_cost,2062824.0594236683,1.0,1.0,-432429.49524881825,2062824.059423563,3017979.167760947,4769888.893341511,1946.9670152756144,698449.1936169802,663526.7339359026,50394.47129538422,1845037.8403847078,15839153.82823122,1246.2884058340708,1861438.9723115107,50000.0,14455727.127039839,1563336.5321524998
1,epsilon_constrained_cost,2187291.623790353,1.0,1.0,-412399.3411405386,2187291.623790464,3438702.4486613115,4814930.659546449,2063.40827705194,888322.4464296116,843906.3241048368,64094.19673854512,670905.0257487056,17026080.528639905,1271.9488095238096,1882037.98567342,50000.0,14455727.12703984,1563336.5321524998
