pareto_point,scenario,emissions_cap_kgco2,battery_installed,ptes_installed,net_annual_profit_chf,annual_emissions_burden_kgco2,annual_grid_import_kwh,annual_grid_export_kwh,annual_grid_use_h,annual_battery_charge_kwh,annual_battery_discharge_kwh,annual_battery_throughput_emissions_kgco2,annual_woodchip_heat_kwhth,annual_heatpump_heat_kwhth,annual_heatpump_nominal_kwhth,annual_heatpump_fixed_cost_rp,annual_ptes_volume_m3,annual_ptes_fixed_cost_rp,annual_thermal_revenue_chf
0,emissions_anchor,1813888.9306902967,1.0,1.0,-1998086.5951825527,1813888.9306902967,2565642.15605375,8882920.46113158,2862.1406542963323,164904.26586842106,156659.05257500004,11898.164345725025,15764210.875,0.0,25.0,225477.0724696004,10.22,108361.98081542947,1563336.5321524998
1,epsilon_constrained_cost,1938356.4950569824,1.0,1.0,-482620.6052331284,1938356.495058287,2641972.963930208,4828075.092246116,1867.512014044081,321939.87736398727,305842.883494389,23228.58993452078,3121499.9144909973,14556610.121150862,1292.4834070168663,1898384.8963287612,50000.0,14455727.12703984,1563336.5321524998
2,epsilon_constrained_cost,2062824.0594236683,1.0,1.0,-432429.49524881825,2062824.059423563,3017979.167760947,4769888.893341511,1946.9670152756144,698449.1936169802,663526.7339359026,50394.47129538422,1845037.8403847078,15839153.82823122,1246.2884058340708,1861438.9723115107,50000.0,14455727.127039839,1563336.5321524998
3,epsilon_constrained_cost,2062824.0594236683,1.0,1.0,-432429.49524881825,2062824.059423563,3017979.167760947,4769888.893341511,1946.9670152756144,698449.1936169802,663526.7339359026,50394.47129538422,1845037.8403847078,15839153.82823122,1246.2884058340708,1861438.9723115107,50000.0,14455727.127039839,1563336.5321524998
4,epsilon_constrained_cost,2187291.623790353,1.0,1.0,-412399.3411405386,2187291.623790464,3438702.4486613115,4814930.659546449,2063.40827705194,888322.4464296116,843906.3241048368,64094.19673854512,670905.0257487056,17026080.528639905,1271.9488095238096,1882037.98567342,50000.0,14455727.12703984,1563336.5321524998
5,epsilon_constrained_cost,2270314.509481465,1.0,1.0,-405282.01398187113,2270314.5094815507,3706761.7716839607,4861895.644284398,2142.1643539920897,1077947.816265093,1024050.4254519808,77776.03694177346,0.0,17703351.001322918,1286.1707235816416,1893372.379781607,50000.0,14455727.12703984,1563336.5321524998
6,cost_anchor,2311759.188157039,1.0,1.0,-308130.88153783215,2311759.188157039,3767602.9300447535,4884878.780714307,2163.1204276897656,1510074.3550823135,1434570.6373281972,108954.8093641813,0.0,17707365.853109512,1299.8786524960549,1904242.7069711185,50000.0,14455727.12703984,1563336.5321524998
