DateTime,load_kWh,heatdemand_kWhth,production_kWh,spot price [Rp/kWh],cop_monthly,battery_installed,battery_capacity_kwh,grid_import_kWh,grid_export_kWh,battery_charge_kWh,battery_discharge_kWh,battery_soc_kWh,prod_for_local_demand_kWh,woodchip_boiler_heat_kWhth,heatpump_heat_kWhth,heatpump_elec_kWh,heatpump_on,heatpump_nominal_kwth,heatpump_nominal_kWhth,Q_HP_kWhth,E_elec_HP_kWh,ptes_charge_kWhth,ptes_discharge_kWhth,ptes_soc_kWhth,ptes_volume_m3,woodchip_heat_supply_share,heatpump_heat_supply_share,ptes_discharge_supply_share
2024-01-01 00:00:00,573.902,876.5,517.925,2.404822,2.95,1.0,20000.0,332.0566610169469,0.0,0.0,0.0,10000.0,0.0,0.0,814.4349999999932,276.07966101694683,1.0,20556.170656043927,5139.042664010982,814.4349999999932,276.07966101694683,0.0,62.06500000000676,482377.9350000007,5000.0,0.0,0.9291899600684463,0.07081003993155363
2024-01-01 00:15:00,604.828,935.75,507.975,2.404822,2.95,1.0,20000.0,372.7826610169468,0.0,0.0,0.0,10000.0,0.0,0.0,813.9924999999932,275.92966101694685,1.0,20556.170656043927,5139.042664010982,813.9924999999932,275.92966101694685,0.0,121.75750000000676,482256.1775000007,5000.0,0.0,0.8698824472348311,0.13011755276516887
2024-01-01 00:30:00,589.457,919.5,508.125,2.404822,2.95,1.0,20000.0,357.11166101694687,0.0,0.0,0.0,10000.0,0.0,0.0,813.55,275.7796610169469,1.0,20556.170656043927,5139.042664010982,813.55,275.7796610169469,0.0,105.95,482150.2275000007,5000.0,0.0,0.884774333877107,0.11522566612289288
2024-01-01 00:45:00,608.048,974.5,508.125,2.404822,2.95,1.0,20000.0,375.5526610169469,0.0,0.0,0.0,10000.0,0.0,0.0,813.1074999999934,275.6296610169469,1.0,20556.170656043927,5139.042664010982,813.1074999999934,275.6296610169469,0.0,161.39250000000663,481988.83500000066,5000.0,0.0,0.8343842996408346,0.16561570035916534
2024-01-01 01:00:00,560.433,914.0,508.1,2.036274,2.95,1.0,20000.0,327.8126610169469,0.0,0.0,0.0,10000.0,0.0,0.0,812.6649999999935,275.4796610169469,1.0,20556.170656043927,5139.042664010982,812.6649999999935,275.4796610169469,0.0,101.33500000000652,481887.5,5000.0,0.0,0.8891301969365355,0.11086980306346446
2024-01-01 01:15:00,604.892,938.25,528.125,2.036274,2.95,1.0,20000.0,352.096661016947,0.0,0.0,0.0,10000.0,0.0,0.0,812.2224999999935,275.32966101694694,1.0,20556.170656043927,5139.042664010982,812.2224999999935,275.32966101694694,0.0,126.02750000000651,481761.4725000006,5000.0,0.0,0.8656781241673258,0.13432187583267413
2024-01-01 01:30:00,605.178,969.25,518.125,2.036274,2.95,1.0,20000.0,362.23266101694696,0.0,0.0,0.0,10000.0,0.0,0.0,811.7799999999936,275.17966101694697,1.0,20556.170656043927,5139.042664010982,811.7799999999936,275.17966101694697,0.0,157.4700000000064,481604.0025000006,5000.0,0.0,0.8375341759092015,0.16246582409079843
2024-01-01 01:45:00,627.955,948.25,518.125,2.036274,2.95,1.0,20000.0,384.85966101694703,0.0,0.0,0.0,10000.0,0.0,0.0,811.3374999999936,275.029661016947,1.0,20556.170656043927,5139.042664010982,811.3374999999936,275.029661016947,0.0,136.9125000000064,481467.09000000055,5000.0,0.0,0.8556156076983851,0.14438439230161496
2024-01-01 02:00:00,582.556,1047.0,518.1,1.326032,2.95,1.0,20000.0,339.33566101694703,0.0,0.0,0.0,10000.0,0.0,0.0,810.8949999999937,274.879661016947,1.0,20556.170656043927,5139.042664010982,810.8949999999937,274.879661016947,0.0,236.10500000000627,481230.98500000057,5000.0,0.0,0.7744937917860494,0.2255062082139506
2024-01-01 02:15:00,596.351,954.5,507.925,1.326032,2.95,1.0,20000.0,363.155661016947,0.0,0.0,0.0,10000.0,0.0,0.0,810.4524999999938,274.72966101694703,1.0,20556.170656043927,5139.042664010982,810.4524999999938,274.72966101694703,0.0,144.04750000000615,481086.9375000006,5000.0,0.0,0.8490859088527961,0.15091409114720394
