DateTime,load_kWh,heatdemand_kWhth,production_kWh,spot price [Rp/kWh],cop_monthly,battery_installed,ptes_installed,battery_capacity_kwh,grid_import_kWh,grid_export_kWh,battery_charge_kWh,battery_discharge_kWh,battery_soc_kWh,woodchip_boiler_heat_kWhth,heatpump_heat_kWhth,heatpump_elec_kWh,heatpump_on,heatpump_nominal_kwth,heatpump_nominal_kWhth,Q_HP_kWhth,E_elec_HP_kWh,ptes_charge_kWhth,ptes_discharge_kWhth,ptes_soc_kWhth,ptes_volume_m3,woodchip_heat_supply_share,heatpump_heat_supply_share,ptes_discharge_supply_share,self_sufficiency,direct_prod_to_load_kWh,prod_to_batt_charge_kWh,prod_via_batt_to_load_kWh,own_production_supply_kWh,self_sufficiency_production_traced,cost_opt__annual_prod_traced_self_sufficiency_fraction,cost_opt__annual_own_production_supply_kwh
2024-01-01 00:00:00,573.902,876.5,517.925,2.404822,2.95,0.0,1.0,0.0,161.27700000000124,0.0,0.0,0.0,0.0,0.0,310.63500000000334,105.3,1.0,5137.024536590696,1284.256134147674,310.63500000000334,105.3,0.0,565.8649999999966,4823834.135,50000.0,0.0,0.35440387906446474,0.6455961209355352,0.7189816379800014,517.925,0.0,0.0,517.925,0.9024624413227343,0.8219202989556762,12528528.223
2024-01-01 00:15:00,604.828,935.75,507.975,2.404822,2.95,0.0,1.0,0.0,202.00300000000107,0.0,0.0,0.0,0.0,0.0,310.19250000000335,105.15,1.0,5137.024536590696,1284.256134147674,310.19250000000335,105.15,0.0,625.5574999999967,4823208.5775,50000.0,0.0,0.3314907827945534,0.6685092172054466,0.6660157929196382,507.975,0.0,0.0,507.975,0.8398668712427335,,
2024-01-01 00:30:00,589.457,919.5,508.125,2.404822,2.95,0.0,1.0,0.0,186.33200000000113,0.0,0.0,0.0,0.0,0.0,309.75,105.0,1.0,5137.024536590696,1284.256134147674,309.75,105.0,0.0,609.75,4822598.8275,50000.0,0.0,0.3368678629690049,0.6631321370309952,0.6838921244467346,508.125,0.0,0.0,508.125,0.8620221661630959,,
2024-01-01 00:45:00,608.048,974.5,508.125,2.404822,2.95,0.0,1.0,0.0,204.7730000000011,0.0,0.0,0.0,0.0,0.0,309.3075000000033,104.85,1.0,5137.024536590696,1284.256134147674,309.3075000000033,104.85,0.0,665.1924999999967,4821933.635,50000.0,0.0,0.3174012314007217,0.6825987685992783,0.6632288898244858,508.125,0.0,0.0,508.125,0.8356659342683472,,
2024-01-01 01:00:00,560.433,914.0,508.1,2.036274,2.95,0.0,1.0,0.0,157.0330000000011,0.0,0.0,0.0,0.0,0.0,308.8650000000033,104.7,1.0,5137.024536590696,1284.256134147674,308.8650000000033,104.7,0.0,605.1349999999967,4821328.5,50000.0,0.0,0.3379266958424544,0.6620733041575456,0.7198005827636825,508.1,0.0,0.0,508.1,0.9066204167135055,,
2024-01-01 01:15:00,604.892,938.25,528.125,2.036274,2.95,0.0,1.0,0.0,181.31700000000114,0.0,0.0,0.0,0.0,0.0,308.42250000000325,104.55,1.0,5137.024536590696,1284.256134147674,308.42250000000325,104.55,0.0,629.8274999999967,4820698.6725,50000.0,0.0,0.3287210231814583,0.6712789768185417,0.7002489700640757,528.125,0.0,0.0,528.125,0.8730897416398299,,
2024-01-01 01:30:00,605.178,969.25,518.125,2.036274,2.95,0.0,1.0,0.0,191.4530000000011,0.0,0.0,0.0,0.0,0.0,307.98000000000326,104.4,1.0,5137.024536590696,1284.256134147674,307.98000000000326,104.4,0.0,661.2699999999968,4820037.402500001,50000.0,0.0,0.31775083827702166,0.6822491617229783,0.6836418376081068,518.125,0.0,0.0,518.125,0.8561530657095929,,
2024-01-01 01:45:00,627.955,948.25,518.125,2.036274,2.95,0.0,1.0,0.0,214.08000000000112,0.0,0.0,0.0,0.0,0.0,307.53750000000326,104.25,1.0,5137.024536590696,1284.256134147674,307.53750000000326,104.25,0.0,640.7124999999967,4819396.69,50000.0,0.0,0.324321117848672,0.6756788821513279,0.6590838515498705,518.125,0.0,0.0,518.125,0.8250989322483299,,
2024-01-01 02:00:00,582.556,1047.0,518.1,1.326032,2.95,0.0,1.0,0.0,168.55600000000112,0.0,0.0,0.0,0.0,0.0,307.0950000000032,104.1,1.0,5137.024536590696,1284.256134147674,307.0950000000032,104.1,0.0,739.9049999999968,4818656.785,50000.0,0.0,0.29330945558739563,0.7066905444126044,0.7106612926482585,518.1,0.0,0.0,518.1,0.8893565597127143,,
2024-01-01 02:15:00,596.351,954.5,507.925,1.326032,2.95,0.0,1.0,0.0,192.37600000000106,0.0,0.0,0.0,0.0,0.0,306.6525000000032,103.95,1.0,5137.024536590696,1284.256134147674,306.6525000000032,103.95,0.0,647.8474999999968,4818008.9375,50000.0,0.0,0.3212702985856503,0.6787297014143497,0.6774114573464267,507.925,0.0,0.0,507.925,0.8517215532463265,,
2024-01-01 02:30:00,684.592,994.5,507.95,1.326032,2.95,0.0,1.0,0.0,280.4420000000011,0.0,0.0,0.0,0.0,0.0,306.2100000000032,103.8,1.0,5137.024536590696,1284.256134147674,306.2100000000032,103.8,0.0,688.2899999999968,4817320.6475,50000.0,0.0,0.3079034690799429,0.6920965309200571,0.5903516254937231,507.95,0.0,0.0,507.95,0.7419747820599715,,
2024-01-01 02:45:00,672.787,1019.0,507.975,1.326032,2.95,0.0,1.0,0.0,268.46200000000107,0.0,0.0,0.0,0.0,0.0,305.76750000000317,103.65,1.0,5137.024536590696,1284.256134147674,305.76750000000317,103.65,0.0,713.2324999999969,4816607.415,50000.0,0.0,0.30006624141315325,0.6999337585868468,0.6009702922321611,507.975,0.0,0.0,507.975,0.7550309384693819,,
2024-01-01 03:00:00,611.856,985.5,518.1,1.052862,2.95,0.0,1.0,0.0,197.25600000000105,0.0,0.0,0.0,0.0,0.0,305.3250000000032,103.5,1.0,5137.024536590696,1284.256134147674,305.3250000000032,103.5,0.0,680.1749999999968,4815927.24,50000.0,0.0,0.30981735159817675,0.6901826484018232,0.6776104181375993,518.1,0.0,0.0,518.1,0.8467678669490861,,
2024-01-01 03:15:00,571.8,884.0,378.125,1.052862,2.95,0.0,1.0,0.0,297.025000000001,0.0,0.0,0.0,0.0,0.0,304.8825000000031,103.35,1.0,5137.024536590696,1284.256134147674,304.8825000000031,103.35,0.0,579.1174999999969,4815348.1225000005,50000.0,0.0,0.34488970588235646,0.6551102941176435,0.48054389646729445,378.125,0.0,0.0,378.125,0.6612889122070654,,
2024-01-01 03:30:00,550.63,1039.25,348.1,1.052862,2.95,0.0,1.0,0.0,305.73000000000104,0.0,0.0,0.0,0.0,0.0,304.4400000000031,103.2,1.0,5137.024536590696,1284.256134147674,304.4400000000031,103.2,0.0,734.8099999999969,4814613.312500001,50000.0,0.0,0.29294202549916104,0.707057974500839,0.44476327116212144,348.1,0.0,0.0,348.1,0.6321849517825038,,
2024-01-01 03:45:00,503.902,1067.75,318.125,1.052862,2.95,0.0,1.0,0.0,288.827000000001,0.0,0.0,0.0,0.0,0.0,303.99750000000313,103.05,1.0,5137.024536590696,1284.256134147674,303.99750000000313,103.05,0.0,763.7524999999969,4813849.5600000005,50000.0,0.0,0.2847084991805227,0.7152915008194772,0.4268191037146092,318.125,0.0,0.0,318.125,0.6313231541053618,,
2024-01-01 04:00:00,483.266,1017.75,318.125,1.05101,2.95,0.0,1.0,0.0,268.0410000000011,0.0,0.0,0.0,0.0,0.0,303.5550000000031,102.9,1.0,5137.024536590696,1284.256134147674,303.5550000000031,102.9,0.0,714.194999999997,4813135.365,50000.0,0.0,0.2982608695652204,0.7017391304347796,0.44535514602723747,318.125,0.0,0.0,318.125,0.6582813605757492,,
2024-01-01 04:15:00,459.65,976.5,318.1,1.05101,2.95,0.0,1.0,0.0,244.3,0.0,0.0,0.0,0.0,0.0,303.1125000000031,102.75,1.0,5137.024536590696,1284.256134147674,303.1125000000031,102.75,0.0,673.3874999999969,4812461.9775,50000.0,0.0,0.3104070660522305,0.6895929339477694,0.4685086478842597,318.1,0.0,0.0,318.1,0.6920482976177528,,
2024-01-01 04:30:00,419.23,1020.0,318.125,1.05101,2.95,0.0,1.0,0.0,203.70500000000106,0.0,0.0,0.0,0.0,0.0,302.6700000000031,102.6,1.0,5137.024536590696,1284.256134147674,302.6700000000031,102.6,0.0,717.329999999997,4811744.6475,50000.0,0.0,0.2967352941176501,0.70326470588235,0.5140972735729765,318.125,0.0,0.0,318.125,0.7588316675810414,,
2024-01-01 04:45:00,408.473,982.75,318.1,1.05101,2.95,0.0,1.0,0.0,192.823000000001,0.0,0.0,0.0,0.0,0.0,302.22750000000303,102.45,1.0,5137.024536590696,1284.256134147674,302.22750000000303,102.45,0.0,680.522499999997,4811064.125,50000.0,0.0,0.30753243449504253,0.6924675655049575,0.5279418713109533,318.1,0.0,0.0,318.1,0.7787540424948528,,
2024-01-01 05:00:00,397.089,1075.5,317.95,1.054714,2.95,0.0,1.0,0.0,181.43900000000104,0.0,0.0,0.0,0.0,0.0,301.78500000000304,102.3,1.0,5137.024536590696,1284.256134147674,301.78500000000304,102.3,0.0,773.714999999997,4810290.41,50000.0,0.0,0.28059972105997494,0.7194002789400251,0.5430772446479226,317.95,0.0,0.0,317.95,0.8007021096026331,,
2024-01-01 05:15:00,440.289,1063.25,347.95,1.054714,2.95,0.0,1.0,0.0,194.489000000001,0.0,0.0,0.0,0.0,0.0,301.342500000003,102.15,1.0,5137.024536590696,1284.256134147674,301.342500000003,102.15,0.0,761.9074999999971,4809528.5025,50000.0,0.0,0.28341641194451256,0.7165835880554875,0.5582696819588928,347.95,0.0,0.0,347.95,0.7902763866460438,,
2024-01-01 05:30:00,422.941,1110.25,327.975,1.054714,2.95,0.0,1.0,0.0,196.96600000000097,0.0,0.0,0.0,0.0,0.0,300.9,102.0,1.0,5137.024536590696,1284.256134147674,300.9,102.0,0.0,809.35,4808719.152500001,50000.0,0.0,0.2710200405314118,0.7289799594685882,0.5342943814858314,327.975,0.0,0.0,327.975,0.7754627714031036,,
