DateTime,cost_opt__grid_import_kWh,cost_opt__grid_export_kWh,cost_opt__battery_charge_kWh,cost_opt__battery_discharge_kWh,cost_opt__battery_soc_kWh,emissions_opt__grid_import_kWh,emissions_opt__grid_export_kWh,emissions_opt__battery_charge_kWh,emissions_opt__battery_discharge_kWh,emissions_opt__battery_soc_kWh,cost_opt__step_cost_rp,emissions_opt__step_cost_rp,cost_opt__step_emissions_kgco2,emissions_opt__step_emissions_kgco2
2024-01-01 00:00:00,0.0,251.09199999747872,2.520910871110088e-09,500.0,1500.000000002395,186.17831662893883,2.9875331302527033e-09,2.9086046217727127e-08,39.71545621382643,1960.2845438138054,-593.8315656178863,448.52002086991166,0.0,65.16241082012858
2024-01-01 00:15:00,0.0,87.58800000000019,0.0,500.0,1000.0000000023949,344.4522247521203,2.949924454015429e-09,2.889077451231903e-08,45.22081608391602,1915.0637277573362,-200.63354933600044,829.2507043480053,0.0,120.55827866324209
2024-01-01 00:30:00,40.32800000187211,0.0,0.0,299.99999999802935,700.0000000043656,283.5813811557769,2.968182098218343e-09,2.8963146594062315e-08,43.94380934332042,1871.1199184415307,102.98166162046269,682.8416203741054,14.114800000655238,99.25348340452192
2024-01-01 00:45:00,0.0,75.30799999999999,0.0,500.0,200.00000000436557,356.5953822206017,2.9459394030651766e-09,2.8881515046674713e-08,45.36486085392183,1825.7550576150463,-171.10233517599997,858.4557174730834,0.0,124.8083837772106
2024-01-01 01:00:00,209.33200001009286,0.0,1.3428850861169073e-08,3.5114717300880303e-09,200.00000001361153,171.89077699680956,2.9932812090234778e-09,2.9051094832516612e-08,39.41181372129968,1786.3432439213454,426.25730898889066,350.8049563073133,73.26620000353249,60.16177194888334
2024-01-01 01:15:00,307.0680000023115,0.0,6.8497412144446004e-09,4.777301351168925e-09,200.00000001534147,265.58125040598156,2.976709194971649e-09,2.902454400793516e-08,43.670262764231474,1742.6729811846822,625.2745846369394,541.6696003389934,107.47380000080902,92.95343764209355
2024-01-01 01:30:00,348.21199999807084,0.0,4.779352667533959e-09,7.0615597722555046e-09,200.0000000128203,305.937318039224,2.9658841160741436e-09,2.9026245718105506e-08,44.49966525554538,1698.1733159567154,709.0550420843085,623.8621996526549,121.87419999932479,107.0780613137284
2024-01-01 01:45:00,439.3199999892939,0.0,3.5332780484492905e-09,1.4989001548195574e-08,200.0000000011879,395.5217292477599,2.9363577237024804e-09,2.901178951513362e-08,46.10344293072467,1652.0698730535544,894.5758936585698,806.3126825554685,153.76199999625285,138.43260523671594
2024-01-01 02:00:00,257.8240000177151,0.0,2.2221671889741113e-08,4.74386828810177e-09,200.00000001755464,219.0891009803406,3.0009990290317742e-09,2.9184128423035034e-08,40.773577949310116,1611.296295131967,341.88287439203015,291.3346303067534,90.23840000620028,76.6811853431192
2024-01-01 02:15:00,353.7040000044044,0.0,1.0524741468967425e-08,6.442418809581366e-09,200.0000000211107,310.0560408546947,2.9807157668471345e-09,2.8863521702311408e-08,45.945220186473165,1565.3510749729135,469.0228225341798,412.0631363669867,123.79640000154153,108.51961429914313
