DateTime,heatdemand_kWhth,cost_opt__battery_installed,cost_opt__grid_import_kWh,cost_opt__grid_export_kWh,cost_opt__battery_charge_kWh,cost_opt__battery_discharge_kWh,cost_opt__battery_soc_kWh,cost_opt__prod_for_local_demand_kWh,cost_opt__woodchip_boiler_heat_kWhth,cost_opt__heatpump_heat_kWhth,cost_opt__heatpump_elec_kWh,cost_opt__heatpump_on,cost_opt__heatpump_nominal_kWhth,cost_opt__Q_HP_kWhth,cost_opt__E_elec_HP_kWh,cost_opt__ptes_charge_kWhth,cost_opt__ptes_discharge_kWhth,cost_opt__ptes_soc_kWhth,cost_opt__ptes_volume_m3,emissions_opt__battery_installed,emissions_opt__grid_import_kWh,emissions_opt__grid_export_kWh,emissions_opt__battery_charge_kWh,emissions_opt__battery_discharge_kWh,emissions_opt__battery_soc_kWh,emissions_opt__prod_for_local_demand_kWh,emissions_opt__woodchip_boiler_heat_kWhth,emissions_opt__heatpump_heat_kWhth,emissions_opt__heatpump_elec_kWh,emissions_opt__heatpump_on,emissions_opt__heatpump_nominal_kWhth,emissions_opt__Q_HP_kWhth,emissions_opt__E_elec_HP_kWh,emissions_opt__ptes_charge_kWhth,emissions_opt__ptes_discharge_kWhth,emissions_opt__ptes_soc_kWhth,emissions_opt__ptes_volume_m3,cost_opt__monthly_power_tariff_rp,emissions_opt__monthly_power_tariff_rp,cost_opt__battery_fixed_cost_rp,emissions_opt__battery_fixed_cost_rp,cost_opt__heatpump_fixed_cost_rp,emissions_opt__heatpump_fixed_cost_rp,cost_opt__ptes_fixed_cost_rp,emissions_opt__ptes_fixed_cost_rp,cost_opt__ptes_emissions_kgco2,emissions_opt__ptes_emissions_kgco2,cost_opt__heatpump_emissions_kgco2,emissions_opt__heatpump_emissions_kgco2,cost_opt__woodchip_cost_rp,cost_opt__woodchip_heat_supply_share,cost_opt__heatpump_heat_supply_share,cost_opt__ptes_discharge_supply_share,cost_opt__thermal_revenue_rp,emissions_opt__woodchip_cost_rp,emissions_opt__woodchip_heat_supply_share,emissions_opt__heatpump_heat_supply_share,emissions_opt__ptes_discharge_supply_share,emissions_opt__thermal_revenue_rp,cost_opt__runofriver_profit_rp,emissions_opt__runofriver_profit_rp,cost_opt__step_cost_rp,emissions_opt__step_cost_rp,cost_opt__step_emissions_kgco2,emissions_opt__step_emissions_kgco2
2024-01-01 02:30:00,994.5,1.0,421.6569825379801,0.0,0.0,0.0,2241.907515469693,507.95,0.0,722.7941984870414,245.01498253798013,1.0,722.7941984870414,722.7941984870414,245.01498253798013,0.0,271.7058015129586,342078.73618334986,5000.0,1.0,176.642,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994.5,8316528.75,120821.25290191526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.97354137608212,0.0,0.0,0.0,0.7267915520231688,0.2732084479768312,9862.4565,0.0,0.0,0.0,1.0,9862.4565,4063.6,0.0,-11983.890945406623,-9048.837795456,162.78289029094358,24.44743115
2024-01-01 02:45:00,1019.0,1.0,409.82698253798014,0.0,0.0,0.0,2241.907515469693,507.975,0.0,722.7941984870414,245.01498253798013,1.0,722.7941984870414,722.7941984870414,245.01498253798013,0.0,296.2058015129586,341782.5303818369,5000.0,1.0,164.812,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1019.0,8315509.75,120821.25290191526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.97354137608212,0.0,0.0,0.0,0.7093171722149572,0.2906828277850428,10105.423,0.0,0.0,0.0,1.0,10105.423,4063.8,0.0,-12281.546803966623,-9346.293654016,161.26874071594358,22.933281575000002
2024-01-01 03:00:00,985.5,1.0,338.7709825379801,0.0,0.0,0.0,2241.907515469693,518.1,0.0,722.7941984870414,245.01498253798013,1.0,722.7941984870414,722.7941984870414,245.01498253798013,0.0,262.7058015129586,341519.824580324,5000.0,1.0,93.75599999999997,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985.5,8314524.25,120821.25290191526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.97354137608212,0.0,0.0,0.0,0.7334289177950699,0.2665710822049301,9773.2035,0.0,0.0,0.0,1.0,9773.2035,4144.8,0.0,-12450.155583058522,-9366.971690328,152.2101948409436,13.874735699999997
2024-01-01 03:15:00,884.0,1.0,438.6899825379801,0.0,0.0,0.0,2241.907515469693,378.125,0.0,722.7941984870414,245.01498253798013,1.0,722.7941984870414,722.7941984870414,245.01498253798013,0.0,161.2058015129586,341358.61877881107,5000.0,1.0,193.67499999999995,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,884.0,8313640.25,120821.25290191526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.97354137608212,0.0,0.0,0.0,0.8176404960260649,0.18235950397393508,8766.628,0.0,0.0,0.0,1.0,8766.628,3025.0,0.0,-9890.844844880523,-7927.460952150001,164.4935372659436,26.158078124999996
2024-01-01 03:30:00,1039.25,1.0,447.5449825379801,0.0,0.0,0.0,2241.907515469693,348.1,0.0,722.7941984870414,245.01498253798013,1.0,722.7941984870414,722.7941984870414,245.01498253798013,0.0,316.4558015129586,341042.16297729814,5000.0,1.0,202.52999999999997,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1039.25,8312601.0,120821.25290191526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.97354137608212,0.0,0.0,0.0,0.6954959812239995,0.3045040187760006,10306.24225,0.0,0.0,0.0,1.0,10306.24225,2784.8,0.0,-11151.891601870522,-9428.707709139999,165.51837684094357,27.182917699999997
2024-01-01 03:45:00,1067.75,1.0,430.7919825379801,0.0,0.0,0.0,2241.907515469693,318.125,0.0,722.7941984870414,245.01498253798013,1.0,722.7941984870414,722.7941984870414,245.01498253798013,0.0,344.9558015129586,340697.2071757852,5000.0,1.0,185.777,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1067.75,8311533.25,120821.25290191526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.97354137608212,0.0,0.0,0.0,0.676932051966323,0.323067948033677,10588.87675,0.0,0.0,0.0,1.0,10588.87675,2545.0,0.0,-11267.314538956522,-9783.930646226,163.26557326594357,24.930114125
2024-01-01 04:00:00,1017.75,1.0,410.15598253798015,0.0,0.0,0.0,2241.907515469693,318.125,0.0,722.7941984870414,245.01498253798013,1.0,722.7941984870414,722.7941984870414,245.01498253798013,0.0,294.9558015129586,340402.2513742723,5000.0,1.0,165.14100000000002,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.75,8310515.5,120821.25290191526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.97354137608212,0.0,0.0,0.0,0.7101883551825511,0.28981164481744887,10093.026749999999,0.0,0.0,0.0,1.0,10093.026749999999,2545.0,0.0,-10861.637088068182,-9377.799427589998,160.6241652659436,22.288706125
2024-01-01 04:15:00,976.5,1.0,386.5649825379801,0.0,0.0,0.0,2241.907515469693,318.1,0.0,722.7941984870414,245.01498253798013,1.0,722.7941984870414,722.7941984870414,245.01498253798013,0.0,253.7058015129586,340148.54557275935,5000.0,1.0,141.54999999999995,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976.5,8309539.0,120821.25290191526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.97354137608212,0.0,0.0,0.0,0.7401886313231351,0.25981136867686494,9683.950499999999,0.0,0.0,0.0,1.0,9683.950499999999,2544.8,0.0,-10554.533694978181,-9070.8960345,157.60442684094357,19.268967699999994
2024-01-01 04:30:00,1020.0,1.0,346.11998253798015,0.0,0.0,0.0,2241.907515469693,318.125,0.0,722.7941984870414,245.01498253798013,1.0,722.7941984870414,722.7941984870414,245.01498253798013,0.0,297.2058015129586,339851.3397712464,5000.0,1.0,101.10500000000002,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,8308519.0,120821.25290191526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.97354137608212,0.0,0.0,0.0,0.7086217632225896,0.29137823677741037,10115.34,0.0,0.0,0.0,1.0,10115.34,2545.0,0.0,-11161.290894428183,-9677.45323395,152.4275572659436,14.092098125000001
2024-01-01 04:45:00,982.75,1.0,335.3879825379801,0.0,0.0,0.0,2241.907515469693,318.1,0.0,722.7941984870414,245.01498253798013,1.0,722.7941984870414,722.7941984870414,245.01498253798013,0.0,259.9558015129586,339591.3839697335,5000.0,1.0,90.37299999999999,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,982.75,8307536.25,120821.25290191526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.97354137608212,0.0,0.0,0.0,0.735481250050411,0.264518749949589,9745.93175,0.0,0.0,0.0,1.0,9745.93175,2544.8,0.0,-10838.163043748184,-9354.52538327,151.05377084094357,12.7183117
2024-01-01 05:00:00,1075.5,1.0,324.15398253798014,0.0,0.0,0.0,2241.907515469693,317.95,0.0,722.7941984870414,245.01498253798013,1.0,722.7941984870414,722.7941984870414,245.01498253798013,0.0,352.7058015129586,339238.67816822056,5000.0,1.0,79.13900000000001,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075.5,8306460.75,120821.25290191526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.97354137608212,0.0,0.0,0.0,0.6720541129586624,0.3279458870413376,10665.7335,0.0,0.0,0.0,1.0,10665.7335,2543.6,0.0,-11804.218693736862,-10322.688568754,149.6152762909436,11.279817150000001
2024-01-01 05:15:00,1063.25,1.0,337.35398253798013,0.0,0.0,0.0,2241.907515469693,347.95,0.0,722.7941984870414,245.01498253798013,1.0,722.7941984870414,722.7941984870414,245.01498253798013,0.0,340.4558015129586,338898.22236670763,5000.0,1.0,92.339,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.25,8305397.5,120821.25290191526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.97354137608212,0.0,0.0,0.0,0.6797970359624185,0.3202029640375816,10544.25025,0.0,0.0,0.0,1.0,10544.25025,2783.6,0.0,-11865.51721893686,-10143.987093954,151.41338629094358,13.07792715
2024-01-01 05:30:00,1110.25,1.0,339.9809825379801,0.0,0.0,0.0,2241.907515469693,327.975,0.0,722.7941984870414,245.01498253798013,1.0,722.7941984870414,722.7941984870414,245.01498253798013,0.0,387.4558015129586,338510.7665651947,5000.0,1.0,94.96599999999995,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1110.25,8304287.25,120821.25290191526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.97354137608212,0.0,0.0,0.0,0.6510193186102602,0.3489806813897398,11010.34925,0.0,0.0,0.0,1.0,11010.34925,2623.8,0.0,-12160.428925258862,-10598.698800275999,151.67739271594357,13.341933574999993
2024-01-01 05:45:00,1039.25,1.0,329.06998253798014,0.0,0.0,0.0,2241.907515469693,318.125,0.0,722.7941984870414,245.01498253798013,1.0,722.7941984870414,722.7941984870414,245.01498253798013,0.0,316.4558015129586,338194.3107636818,5000.0,1.0,84.055,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1039.25,8303248.0,120821.25290191526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.97354137608212,0.0,0.0,0.0,0.6954959812239995,0.3045040187760006,10306.24225,0.0,0.0,0.0,1.0,10306.24225,2545.0,0.0,-11424.817989712861,-9941.887864729999,150.2451572659436,11.909698125
2024-01-01 06:00:00,1133.5,1.0,351.8759825379801,0.0,0.0,0.0,2241.907515469693,298.125,0.0,722.7941984870414,245.01498253798013,1.0,722.7941984870414,722.7941984870414,245.01498253798013,0.0,410.7058015129586,337783.60496216884,5000.0,1.0,106.86099999999999,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1133.5,8302114.5,120821.25290191526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.97354137608212,0.0,0.0,0.0,0.6376658125161371,0.3623341874838629,11240.9195,0.0,0.0,0.0,1.0,11240.9195,2385.0,0.0,-12102.266938028013,-10778.202393676,153.09198526594358,14.756526125
