DateTime,load_kWh,heatdemand_kWhth,production_kWh,spot price [Rp/kWh],cop_monthly,battery_installed,ptes_installed,battery_capacity_kwh,grid_import_kWh,grid_export_kWh,battery_charge_kWh,battery_discharge_kWh,battery_soc_kWh,prod_for_local_demand_kWh,woodchip_boiler_heat_kWhth,heatpump_heat_kWhth,heatpump_elec_kWh,heatpump_on,heatpump_nominal_kwth,heatpump_nominal_kWhth,Q_HP_kWhth,E_elec_HP_kWh,ptes_charge_kWhth,ptes_discharge_kWhth,ptes_soc_kWhth,ptes_volume_m3,woodchip_heat_supply_share,heatpump_heat_supply_share,ptes_discharge_supply_share
2024-01-01 00:00:00,573.902,876.5,517.925,2.404822,2.95,0.0,1.0,0.0,321.4545017192987,0.0,0.0,0.0,0.0,517.925,0.0,783.158630071931,265.47750171929863,1.0,3132.634520287724,783.158630071931,783.158630071931,265.47750171929863,0.0,93.34136992806896,482346.65863007185,5000.0,0.0,0.893506708581781,0.106493291418219
2024-01-01 00:15:00,604.828,935.75,507.975,2.404822,2.95,0.0,1.0,0.0,362.3305017192986,0.0,0.0,0.0,0.0,507.975,0.0,783.158630071931,265.47750171929863,1.0,3132.634520287724,783.158630071931,783.158630071931,265.47750171929863,0.0,152.59136992806896,482194.06726014375,5000.0,0.0,0.8369314775013957,0.1630685224986043
2024-01-01 00:30:00,589.457,919.5,508.125,2.404822,2.95,0.0,1.0,0.0,346.8095017192986,0.0,0.0,0.0,0.0,508.125,0.0,783.158630071931,265.47750171929863,1.0,3132.634520287724,783.158630071931,783.158630071931,265.47750171929863,0.0,136.34136992806896,482057.72589021566,5000.0,0.0,0.851722273052671,0.14827772694732894
2024-01-01 00:45:00,608.048,974.5,508.125,2.404822,2.95,0.0,1.0,0.0,365.40050171929863,0.0,0.0,0.0,0.0,508.125,0.0,783.158630071931,265.47750171929863,1.0,3132.634520287724,783.158630071931,783.158630071931,265.47750171929863,0.0,191.34136992806896,481866.38452028757,5000.0,0.0,0.8036517496890005,0.19634825031099945
2024-01-01 01:00:00,560.433,914.0,508.1,2.036274,2.95,0.0,1.0,0.0,317.8105017192986,0.0,0.0,0.0,0.0,508.1,0.0,783.158630071931,265.47750171929863,1.0,3132.634520287724,783.158630071931,783.158630071931,265.47750171929863,0.0,130.84136992806896,481735.5431503595,5000.0,0.0,0.8568475164900777,0.14315248350992227
2024-01-01 01:15:00,604.892,938.25,528.125,2.036274,2.95,0.0,1.0,0.0,342.2445017192987,0.0,0.0,0.0,0.0,528.125,0.0,783.158630071931,265.47750171929863,1.0,3132.634520287724,783.158630071931,783.158630071931,265.47750171929863,0.0,155.09136992806896,481580.45178043144,5000.0,0.0,0.8347014442546561,0.16529855574534394
2024-01-01 01:30:00,605.178,969.25,518.125,2.036274,2.95,0.0,1.0,0.0,352.5305017192986,0.0,0.0,0.0,0.0,518.125,0.0,783.158630071931,265.47750171929863,1.0,3132.634520287724,783.158630071931,783.158630071931,265.47750171929863,0.0,186.09136992806896,481394.3604105034,5000.0,0.0,0.8080047769635605,0.19199522303643948
2024-01-01 01:45:00,627.955,948.25,518.125,2.036274,2.95,0.0,1.0,0.0,375.30750171929867,0.0,0.0,0.0,0.0,518.125,0.0,783.158630071931,265.47750171929863,1.0,3132.634520287724,783.158630071931,783.158630071931,265.47750171929863,0.0,165.09136992806896,481229.26904057537,5000.0,0.0,0.8258988980458013,0.17410110195419873
2024-01-01 02:00:00,582.556,1047.0,518.1,1.326032,2.95,0.0,1.0,0.0,329.93350171929865,0.0,0.0,0.0,0.0,518.1,0.0,783.158630071931,265.47750171929863,1.0,3132.634520287724,783.158630071931,783.158630071931,265.47750171929863,0.0,263.84136992806896,480965.42767064733,5000.0,0.0,0.7480025120075751,0.251997487992425
2024-01-01 02:15:00,596.351,954.5,507.925,1.326032,2.95,0.0,1.0,0.0,353.9035017192986,0.0,0.0,0.0,0.0,507.925,0.0,783.158630071931,265.47750171929863,1.0,3132.634520287724,783.158630071931,783.158630071931,265.47750171929863,0.0,171.34136992806896,480794.08630071924,5000.0,0.0,0.8204909691691263,0.17950903083087372
2024-01-01 02:30:00,684.592,994.5,507.95,1.326032,2.95,0.0,1.0,0.0,442.1195017192986,0.0,0.0,0.0,0.0,507.95,0.0,783.158630071931,265.47750171929863,1.0,3132.634520287724,783.158630071931,783.158630071931,265.47750171929863,0.0,211.34136992806896,480582.7449307912,5000.0,0.0,0.7874898241045059,0.21251017589549417
2024-01-01 02:45:00,672.787,1019.0,507.975,1.326032,2.95,0.0,1.0,0.0,430.28950171929864,0.0,0.0,0.0,0.0,507.975,0.0,783.158630071931,265.47750171929863,1.0,3132.634520287724,783.158630071931,783.158630071931,265.47750171929863,0.0,235.84136992806896,480346.9035608631,5000.0,0.0,0.7685560648399716,0.23144393516002842
2024-01-01 03:00:00,611.856,985.5,518.1,1.052862,2.95,0.0,1.0,0.0,359.2335017192986,0.0,0.0,0.0,0.0,518.1,0.0,783.158630071931,265.47750171929863,1.0,3132.634520287724,783.158630071931,783.158630071931,265.47750171929863,0.0,202.34136992806896,480144.562190935,5000.0,0.0,0.7946815119958712,0.20531848800412883
